"package","n"
"RMySQL",34807
"modeldata",34797
"questionr",34726
"SmartEDA",34702
"ggeffects",34588
"Rcmdr",34508
"rstantools",34457
"geosphere",34415
"spatstat.sparse",34341
"PerformanceAnalytics",34218
"lhs",34059
"aplot",34044
"RODBC",33915
"ca",33875
"stabledist",33853
"janeaustenr",33826
"maxLik",33821
"geometries",33789
"corpcor",33575
"spatstat.data",33291
"misc3d",32965
"plot3D",32929
"gmodels",32789
"pixmap",32770
"sjmisc",32720
"zeallot",32703
"seriation",32443
"workflows",32353
"shinyBS",31903
"git2r",31856
"Seurat",31722
"webutils",31713
"jsonify",31579
"ks",31533
"sqldf",31451
"agricolae",31250
"Rtsne",30983
"RJSONIO",30818
"visdat",30813
"spelling",30713
"servr",30678
"geojsonsf",30669
"tibbletime",30590
"keyring",30499
"wordcloud",30464
"extrafontdb",30394
"padr",30335
"brms",30230
"leafem",30220
"pryr",30171
"dials",30171
"hunspell",30011
"hash",29984
"shinythemes",29962
"uwot",29804
"spam",29704
"tsibble",29595
"gridGraphics",29576
"registry",29561
"RcppAnnoy",29346
"truncnorm",29278
"RcmdrMisc",29066
"showtext",29024
"DiceDesign",28737
"sctransform",28734
"GPfit",28649
"minpack.lm",28439
"ISLR",28309
"dotCall64",28276
"klaR",28265
"strucchange",28224
"pls",28214
"modelenv",28106
"gamlss",28084
"workflowsets",27999
"sjPlot",27886
"aws.s3",27827
"mlbench",27808
"BayesFactor",27693
"ggfortify",27674
"microbenchmark",27467
"AzureStor",27373
"sysfonts",27330
"relimp",27196
"polspline",27187
"swirl",27111
"tidytree",27033
"mathjaxr",27015
"pcaPP",26890
"fastDummies",26830
"distro",26802
"GPArotation",26686
"lwgeom",26569
"pak",26491
"TSP",26273
"TMB",26241
"mapproj",26216
"sitmo",26131
"metafor",26107
"pkgcache",25964
"spdep",25937
"proto",25932
"learnr",25847
"tensorA",25728
"RANN",25702
"RgoogleMaps",25658
"readstata13",25633
"spData",25606
"showtextdb",25584
"gclus",25258
"getPass",25183
"IRdisplay",25175
"pkgdepends",25023
"shinycssloaders",24907
"PRROC",24901
"afex",24668
"gtsummary",24596
"dichromat",24519
"RSpectra",24518
"sem",24500
"pbdZMQ",24434
"gsl",24428
"Deriv",24310
"posterior",24272
"tensor",24206
"summarytools",24070
"flexmix",24023
"tictoc",23838
"mockery",23752
"circlize",23736
"archdata",23705
"pastecs",23679
"mi",23169
"multicool",23131
"CausalImpact",23034
"hypergeo",23010
"elliptic",22982
"ggbeeswarm",22941
"mosaic",22909
"shinystan",22845
"lpSolveAPI",22699
"DiagrammeR",22677
"qap",22667
"contfrac",22651
"ROracle",22523
"formattable",22511
"redcapAPI",22506
"pkgsearch",22496
"jtools",22260
"arules",22167
"modeest",22098
"shapefiles",22065
"gbm",22030
"scattermore",22029
"broom.helpers",22000
"countrycode",21958
"ggstance",21910
"rngtools",21775
"logger",21603
"SeuratObject",21573
"tensorflow",21558
"pwr",21536
"network",21527
"sjstats",21511
"pdftools",21510
"tmap",21424
"Lahman",21351
"sfsmisc",21253
"IRkernel",21223
"AlgDesign",21122
"quanteda",20960
"ggnewscale",20939
"restfulr",20906
"GlobalOptions",20760
"segmented",20543
"beeswarm",20499
"statnet.common",20378
"tcltk2",20029
"seqinr",19977
"cubature",19969
"aws.signature",19857
"TeachingDemos",19738
"ncdf4",19736
"aplpack",19731
"exactRankTests",19699
"RhpcBLASctl",19446
"RJDBC",19395
"doRNG",19293
"websocket",19185
"settings",19150
"EnvStats",19078
"validate",19029
"mapview",18898
"nleqslv",18873
"ggfittext",18801
"RcppHNSW",18711
"fabletools",18706
"ggformula",18556
"vipor",18534
"lbfgs",18497
"mosaicCore",18344
"gsubfn",18284
"ISOcodes",18279
"hrbrthemes",18120
"MLmetrics",18005
"maxstat",17874
"extraDistr",17796
"KMsurv",17784
"survMisc",17757
"leiden",17747
"RUnit",17729
"pingr",17707
"scatterpie",17657
"km.ci",17646
"partykit",17484
"MatchIt",17160
"texreg",17147
"mlflow",17040
"sna",17038
"AsioHeaders",17028
"metadat",17009
"Metrics",16994
"spatstat.model",16933
"vars",16867
"fable",16859
"gstat",16793
"fpc",16773
"gam",16740
"mosaicData",16680
"rmutil",16632
"correlation",16575
"stopwords",16541
"bibliometrix",16517
"languageserver",16502
"admisc",16429
"rjags",16400
"diptest",16395
"leafpop",16316
"threejs",16298
"dbscan",16209
"feather",16170
"chromote",16157
"CompQuadForm",16139
"fdrtool",16135
"googleAuthR",16133
"h2o",16106
"nnls",16091
"bsts",16061
"spatstat",15995
"ash",15935
"qgraph",15934
"rstanarm",15797
"rnaturalearth",15795
"satellite",15705
"magic",15694
"feasts",15672
"meta",15551
"MuMIn",15467
"ica",15446
"waiter",15369
"inum",15290
"webshot2",15282
"systemfit",15246
"tmaptools",15240
"party",15127
"rsvd",15113
"statip",15071
"norm",15060
"fuzzyjoin",15057
"Boom",15026
"Rsolnp",14968
"intervals",14909
"BoomSpikeSlab",14801
"ggExtra",14790
"UpSetR",14770
"networkD3",14762
"stable",14742
"Rfast",14714
"msm",14687
"Brobdingnag",14685
"rpf",14669
"proj4",14669
"rrcov",14645
"fpp3",14573
"log4r",14563
"gganimate",14495
"slackr",14436
"mvnormtest",14433
"glmmTMB",14412
"ppcor",14390
"implied",14384
"MVN",14362
"OpenMx",14315
"paletteer",14263
"MCMCpack",14233
"ggpp",14188
"spacetime",14159
"imputeTS",14133
"energy",14103
"fda",14073
"dslabs",14055
"optimx",14037
"bridgesampling",14032
"wooldridge",14019
"gnm",14015
"leafsync",13935
"readODS",13922
"tinytest",13847
"bbmle",13829
"rmgarch",13805
"prismatic",13773
"duckdb",13766
"naniar",13726
"Bessel",13700
"PMCMRplus",13689
"R.rsp",13687
"smooth",13661
"topicmodels",13646
"qvcalc",13645
"tkrplot",13629
"rapportools",13605
"bench",13529
"lsr",13526
"sftime",13515
"rsvg",13471
"broom.mixed",13390
"tfruns",13362
"ggpmisc",13311
"tidyquant",13307
"syuzhet",13307
"GetoptLong",13256
"fastICA",13254
"RcppGSL",13250
"gifski",13217
"shinyAce",13215
"fresh",13188
"spatstat.linnet",13185
"VennDiagram",13163
"BBmisc",13114
"shadowtext",13056
"SuppDists",13054
"phangorn",13042
"ISLR2",13008
"clisymbols",13002
"glasso",12949
"FSA",12907
"grf",12905
"prophet",12889
"prabclus",12884
"arulesViz",12870
"fst",12862
"fasttime",12830
"openintro",12828
"widgetframe",12805
"ff",12805
"chk",12784
"tableone",12749
"gridBase",12716
"modeltime",12711
"Quandl",12683
"mlr",12679
"jmvcore",12666
"wordcloud2",12655
"mc2d",12622
"VIM",12614
"faraway",12577
"cmprsk",12577
"rattle",12574
"gRbase",12568
"flexdashboard",12521
"quarto",12471
"polycor",12446
"lgr",12417
"geometry",12413
"modelsummary",12352
"ggdist",12330
"dunn.test",12325
"BiasedUrn",12313
"ggiraph",12258
"tfautograph",12213
"rvg",12205
"qqconf",12191
"drc",12168
"NbClust",12160
"mcmc",12141
"gamlss.dist",12133
"stinepack",12105
"RApiSerialize",12104
"BSDA",12090
"rcompanion",12050
"geepack",11961
"whoami",11942
"tables",11936
"linprog",11921
"ggstatsplot",11909
"sn",11902
"logging",11889
"ggrastr",11875
"rugarch",11841
"ggdendro",11839
"data.tree",11839
"babynames",11824
"corrr",11806
"ggalluvial",11766
"timereg",11758
"fpp2",11717
"sparkline",11715
"qs",11715
"rentrez",11688
"shinydashboardPlus",11669
"rainbow",11658
"see",11613
"ggplot2movies",11583
"mockr",11580
"earth",11558
"hdrcde",11532
"varhandle",11464
"operator.tools",11455
"stringfish",11408
"shinybusy",11404
"fds",11399
"formula.tools",11310
"RMariaDB",11274
"memuse",11263
"prediction",11217
"RcppZiggurat",11197
"descr",11197
"rriskDistributions",11188
"tigris",11097
"lars",11093
"statsExpressions",11078
"biglm",11075
"doBy",11071
"ROSE",11009
"profmem",10982
"interactions",10945
"evd",10932
"fmsb",10906
"sm",10905
"tree",10890
"wesanderson",10853
"parallelMap",10850
"FrF2",10794
"alphavantager",10741
"fstcore",10722
"hdf5r",10703
"tsibbledata",10697
"latex2exp",10676
"collections",10655
"LaplacesDemon",10651
"thief",10639
"signal",10638
"qcc",10636
"gson",10636
"mlogit",10635
"splancs",10632
"mapdata",10626
"vcdExtra",10619
"neuralnet",10604
"epiR",10586
"tiff",10558
"tis",10548
"gggenes",10527
"rtweet",10526
"fixest",10524
"plotmo",10516
"sampling",10509
"bigrquery",10462
"fma",10453
"laeken",10449
"egg",10430
"qdapRegex",10405
"margins",10403
"gmailr",10373
"RcppNumerical",10336
"mmrm",10333
"fastcluster",10295
"lfe",10279
"KFAS",10279
"outliers",10197
"marginaleffects",10154
"semTools",10096
"DistributionUtils",10084
"riskRegression",10072
"testit",10028
"bizdays",10025
"itertools",9936
"matrixcalc",9919
"textshape",9894
"modelbased",9887
"shinyalert",9881
"kutils",9840
"qqplotr",9804
"carrier",9802
"dreamerr",9793
"tidycensus",9761
"highcharter",9757
"DataExplorer",9755
"ISwR",9738
"conquer",9709
"XLConnect",9691
"ggspatial",9678
"Rmisc",9654
"kSamples",9640
"pagedown",9634
"olsrr",9608
"hts",9605
"TSA",9597
"GenSA",9535
"confintr",9531
"astsa",9516
"lsmeans",9503
"gap",9478
"greybox",9474
"riingo",9458
"dismo",9436
"estimatr",9432
"shapviz",9397
"rhub",9370
"ggh4x",9309
"WGCNA",9273
"lmodel2",9261
"JuliaCall",9252
"targets",9247
"expsmooth",9247
"x13binary",9225
"doSNOW",9205
"weights",9201
"forestplot",9198
"dbarts",9170
"dtw",9156
"jqr",9152
"clusterGeneration",9143
"erer",9141
"foghorn",9117
"AssetCorr",9106
"audio",9104
"semPlot",9089
"usdata",9088
"Rserve",9078
"heplots",9057
"catR",9016
"rucm",9012
"nanotime",9001
"bayesm",8993
"imager",8951
"acepack",8950
"base64url",8938
"hwriter",8911
"textdata",8905
"dynamicTreeCut",8905
"ISOweek",8898
"mediation",8881
"rosm",8866
"pipeR",8862
"phytools",8824
"aod",8772
"WriteXLS",8770
"unmarked",8769
"dtt",8760
"AICcmodavg",8726
"ParamHelpers",8715
"Cubist",8665
"float",8661
"dfidx",8659
"BWStest",8650
"ggside",8640
"sets",8637
"datarium",8567
"betareg",8564
"seasonal",8549
"ada",8536
"NMF",8533
"WRS2",8513
"pool",8506
"gamlss.data",8505
"vioplot",8451
"waterfalls",8438
"mvnfast",8434
"gee",8409
"leaflet.extras",8397
"datamods",8397
"airports",8380
"epiDisplay",8379
"MendelianRandomization",8377
"mailR",8372
"mda",8371
"Rglpk",8347
"logistf",8342
"huxtable",8285
"fGarch",8282
"table1",8277
"rockchalk",8272
"vip",8251
"mlr3misc",8241
"expss",8178
"rdist",8152
"splus2R",8142
"kknn",8132
"Rcereal",8078
"rticles",8076
"binom",8045
"alr4",7999
"cherryblossom",7976
"dynlm",7970
"DiceKriging",7956
"epitools",7954
"geojsonio",7950
"umap",7873
"stm",7857
"attempt",7842
"esquisse",7814
"phosphoricons",7808
"RVAideMemoire",7683
"shinyFiles",7664
"golem",7650
"webfakes",7580
"gap.datasets",7570
"treemap",7567
"repurrrsive",7561
"heatmaply",7544
"fitzRoy",7529
"jmv",7490
"googleCloudStorageR",7483
"speedglm",7431
"randtoolbox",7424
"gamm4",7418
"pgirmess",7407
"rsm",7405
"GeneralizedHyperbolic",7404
"prettydoc",7386
"directlabels",7364
"animation",7339
"nanoarrow",7336
"actuar",7330
"ltm",7319
"gridSVG",7317
"Matching",7289
"decor",7256
"MCMCglmm",7247
"lm.beta",7230
"PMCMR",7211
"protolite",7190
"partitions",7159
"numbers",7152
"copula",7145
"av",7137
"gtrendsR",7133
"AzureKeyVault",7130
"mets",7117
"emdbook",7116
"corrgram",7102
"rngWELL",7097
"gbutils",7089
"shades",7040
"cvar",7036
"RcppCCTZ",7030
"beepr",7010
"HistData",7009
"harmony",6997
"tikzDevice",6991
"SkewHyperbolic",6987
"devEMF",6981
"memisc",6979
"Amelia",6979
"mixtools",6972
"benchmarkme",6962
"expint",6958
"rasterVis",6940
"rnaturalearthdata",6933
"ggiraphExtra",6933
"filehash",6932
"debugme",6918
"RcppThread",6886
"twosamples",6855
"optimParallel",6841
"googlePolylines",6811
"Kendall",6762
"missForest",6758
"paws.common",6747
"benchmarkmeData",6728
"psychTools",6721
"mlr3",6715
"assertive.base",6710
"trust",6690
"gmm",6687
"ez",6681
"maketools",6679
"ggvis",6658
"docopt",6651
"assertive.properties",6648
"bibliometrixData",6642
"scam",6639
"tweedie",6596
"titanic",6596
"osmdata",6585
"mycor",6585
"dlm",6576
"logspline",6548
"r5r",6545
"rgbif",6541
"DHARMa",6537
"intergraph",6511
"pubmedR",6495
"rscopus",6492
"fdth",6479
"assertive.types",6475
"Publish",6458
"pbmcapply",6450
"CircStats",6416
"R.matlab",6410
"dimensionsR",6409
"pins",6400
"lisrelToR",6398
"spd",6397
"arrangements",6392
"wavethresh",6387
"bibtex",6335
"bigmemory",6317
"changepoint",6311
"nonnest2",6271
"adegenet",6253
"osrm",6204
"fastGHQuad",6202
"splitstackshape",6163
"poorman",6162
"qgam",6161
"RcppDate",6159
"alabama",6111
"adehabitatLT",6103
"Mcomp",6101
"qqman",6087
"osqp",6078
"clubSandwich",6066
"mapiso",6054
"flexclust",6053
"pec",6035
"rhandsontable",6017
"Ecdat",6017
"Boruta",6016
"exactextractr",6011
"effsize",6000
"Epi",5991
"kinship2",5988
"C50",5988
"mirt",5975
"RWeka",5965
"wrapr",5957
"coxme",5955
"googleAnalyticsR",5929
"cplm",5929
"forecastHybrid",5925
"circular",5925
"ggimage",5918
"paradox",5911
"muhaz",5908
"np",5889
"mlr3measures",5877
"ergm",5870
"matlib",5862
"HH",5861
"rncl",5840
"showimage",5823
"maditr",5810
"blavaan",5808
"import",5797
"mboost",5794
"manipulate",5790
"shinytest",5789
"readbitmap",5789
"bnlearn",5789
"tesseract",5782
"opdisDownsampling",5780
"spatialreg",5774
"forecTheta",5762
"twitteR",5759
"flexsurv",5753
"eha",5739
"textclean",5713
"bmp",5699
"visreg",5693
"MBESS",5690
"pandoc",5686
"geojson",5685
"mgsub",5665
"grpreg",5664
"missRanger",5626
"UsingR",5613
"runjags",5608
"ADGofTest",5608
"splines2",5602
"randomForestSRC",5600
"gtExtras",5597
"ivreg",5582
"QuantPsyc",5557
"rfm",5538
"calibrate",5537
"lda",5519
"automap",5516
"DoE.base",5514
"themis",5504
"nabor",5495
"scoringRules",5491
"mstate",5489
"tsbox",5483
"ggalt",5473
"pspline",5440
"dfoptim",5436
"smbinning",5434
"MatrixExtra",5430
"assertive.numbers",5419
"english",5410
"shinyjqui",5404
"cobalt",5403
"xplorerr",5402
"ashr",5396
"R2HTML",5392
"ResourceSelection",5390
"blastula",5389
"assertive.files",5383
"rmapshaper",5382
"pals",5367
"proxyC",5365
"WDI",5351
"ggVennDiagram",5346
"pdp",5332
"irr",5317
"paws.storage",5314
"compositions",5300
"katex",5297
"googleVis",5297
"leidenbase",5280
"Ecfun",5280
"reghelper",5267
"RcppML",5266
"DEoptim",5262
"webdriver",5227
"som",5214
"adlift",5209
"tuneR",5197
"RSpincalc",5193
"tmvnsim",5190
"ratelimitr",5186
"missMDA",5184
"iterpc",5153
"BMA",5153
"geoR",5124
"arsenal",5120
"ClusterR",5117
"markovchain",5112
"EbayesThresh",5090
"NHANES",5084
"binhf",5077
"tempdisagg",5073
"GA",5072
"ROI",5063
"Rcsdp",5059
"assertive.code",5057
"groupdata2",5035
"assertive",5033
"sendmailR",5022
"vcfR",5016
"gcookbook",5000
"HSAUR2",4972
"lightgbm",4969
"entropy",4965
"RefManageR",4964
"Ckmeans.1d.dp",4964
"tufte",4958
"brglm",4954
"report",4951
"LearnBayes",4937
"lexicon",4929
"bigmemory.sri",4927
"adehabitatMA",4910
"rgenoud",4908
"DBItest",4880
"sas7bdat",4878
"vtable",4869
"cvAUC",4869
"DAAG",4863
"amap",4863
"ICS",4851
"colorRamps",4850
"assertive.reflection",4831
"assertive.strings",4828
"thematic",4815
"text2vec",4809
"doFuture",4806
"fftwtools",4794
"assertive.datetimes",4791
"rARPACK",4785
"assertive.sets",4777
"scico",4767
"bs4Dash",4753
"assertive.data",4741
"assertive.data.uk",4737
"assertive.models",4736
"profileModel",4732
"assertive.matrices",4731
"assertive.data.us",4727
"ggmosaic",4707
"antiword",4700
"babelgene",4697
"bain",4686
"reproj",4677
"nFactors",4674
"rstpm2",4671
"taxize",4663
"aTSA",4659
"orthopolynom",4655
"msigdbr",4654
"caesar",4637
"pamr",4608
"bootstrap",4606
"adehabitatHR",4606
"ineq",4596
"PROJ",4594
"openair",4586
"dtwclust",4586
"tidybayes",4580
"rmdformats",4578
"glmmML",4574
"vcr",4557
"butcher",4541
"chemometrics",4539
"academictwitteR",4530
"svDialogs",4518
"ncvreg",4517
"R2jags",4516
"subplex",4509
"emayili",4504
"LiblineaR",4494
"RecordLinkage",4492
"randomizr",4490
"fortunes",4488
"webmockr",4478
"dagitty",4478
"fauxpas",4463
"influenceR",4456
"tsoutliers",4452
"ftsa",4445
"pageviews",4438
"concaveman",4423
"officedown",4416
"naivebayes",4403
"striprtf",4401
"rbenchmark",4400
"quanteda.textstats",4387
"RSelenium",4385
"ssh",4381
"archive",4367
"DFA.CANCOR",4362
"robust",4361
"SqlRender",4343
"DMwR2",4343
"ggsurvfit",4339
"TSstudio",4335
"coefplot",4329
"doMC",4324
"blogdown",4323
"miceadds",4307
"picante",4294
"paws.security.identity",4288
"optmatch",4267
"readtext",4265
"Lmoments",4257
"mfx",4246
"bold",4232
"oai",4225
"crsmeta",4224
"etm",4214
"svUnit",4197
"blme",4193
"pspearman",4189
"sparsesvd",4179
"coro",4164
"cleanrmd",4156
"mixsqp",4155
"srvyr",4138
"rotl",4135
"OpenStreetMap",4122
"clustMixType",4122
"spaMM",4119
"ggbreak",4118
"moderndive",4111
"MPV",4110
"limSolve",4109
"candisc",4100
"productplots",4096
"paws.compute",4095
"RcppSimdJson",4091
"xaringan",4090
"paws.machine.learning",4088
"paws.analytics",4087
"lessR",4085
"future.callr",4074
"paws.management",4072
"uroot",4051
"paws.application.integration",4051
"HDInterval",4050
"Ryacas",4044
"paws.database",4044
"paws.customer.engagement",4040
"ggprism",4031
"dataPreparation",4031
"paws.networking",4027
"paws.cost.management",4026
"merTools",4014
"subselect",4012
"rsparse",4008
"dotwhisker",4005
"wdman",4003
"smacof",3997
"R2WinBUGS",3989
"cowsay",3989
"mclogit",3987
"rle",3985
"bestglm",3982
"glmnetUtils",3969
"phia",3964
"compareGroups",3962
"poLCA",3960
"paws.developer.tools",3959
"paws",3957
"CVXR",3954
"echarts4r",3951
"apaTables",3948
"shinydisconnect",3946
"binman",3936
"ggnetwork",3935
"akima",3930
"SuperLearner",3924
"Factoshiny",3921
"paws.end.user.computing",3907
"useful",3905
